                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.3483,                 2.6244,                 1.7728,                0.96747,                0.54445,                0.66667,                0.55256,                0.21225,                0.59756,                0.49593,                0.49942,                0.14081,                 2.6286,                 1.9137,                 1.4649,                 1.0575,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.3497,                  2.766,                 1.8604,                0.97942,                0.80906,                0.83333,                0.75193,                0.19417,                0.55966,                0.63922,                0.53612,                 0.1555,                 2.5678,                 2.0427,                 1.3802,                 1.0472,               0.001307,               0.001307,               0.001307
                     37,                 2.3665,                 2.5114,                 1.8895,                0.93342,                 0.8323,                0.83333,                0.83167,                0.22711,                0.55662,                0.66667,                0.53231,                0.14827,                 2.3827,                 2.0388,                  1.486,                  1.029,              0.0012872,              0.0012872,              0.0012872
                     38,                 2.3651,                 2.7454,                 1.7394,                0.97322,                0.58696,                0.66667,                0.61124,                0.19058,                0.60688,                0.77697,                 0.7555,                0.12271,                 2.9052,                   1.95,                 1.4429,                 1.0981,              0.0012674,              0.0012674,              0.0012674
                     39,                  2.264,                 2.1479,                 1.6673,                0.94049,                0.70488,                0.80042,                0.65412,                0.18082,                0.55982,                    0.5,                0.44115,                0.09065,                 3.0855,                 1.9025,                 1.5587,                 1.1362,              0.0012476,              0.0012476,              0.0012476
                     40,                 2.3062,                 2.3868,                  1.715,                0.93422,                0.57066,                0.83333,                0.66377,                0.24401,                0.45142,                0.66667,                0.50333,                0.13201,                 2.8389,                  1.894,                 1.3164,                 1.1588,              0.0012278,              0.0012278,              0.0012278
                     41,                 2.3122,                 2.2489,                 1.6696,                0.95645,                0.68806,                0.83333,                0.66699,                0.27046,                0.46431,                    0.5,                0.33607,                0.10664,                 2.3871,                 2.1418,                 1.2389,                 1.0625,               0.001208,               0.001208,               0.001208
                     42,                 2.2621,                 2.6583,                 1.6905,                0.92748,                0.65238,                0.66667,                0.56609,                0.21272,                0.32605,                0.33333,                0.15304,                0.03368,                 2.5188,                 2.2166,                 1.4935,                 1.0449,              0.0011882,              0.0011882,              0.0011882
                     43,                 2.3368,                 2.0636,                 1.6574,                0.90998,                0.64064,                0.66667,                0.57296,                 0.2421,                0.45249,                    0.5,                0.41739,                0.17491,                 2.5304,                 2.2184,                 1.3877,                 1.0521,              0.0011684,              0.0011684,              0.0011684
                     44,                 2.2843,                 2.3311,                 1.5672,                0.96691,                0.81217,                0.83333,                0.80814,                0.35341,                0.53677,                0.83333,                0.51062,                0.14671,                 2.2268,                 2.1885,                 1.3677,                 1.0356,              0.0011486,              0.0011486,              0.0011486
                     45,                 2.2205,                  2.301,                 1.5279,                0.91937,                0.80932,                0.83333,                0.84233,                0.28099,                0.45887,                0.66667,                0.47554,                0.08672,                 2.4583,                 2.0501,                 1.4282,                  1.029,              0.0011288,              0.0011288,              0.0011288
                     46,                 2.2946,                  2.438,                 1.4927,                0.93865,                 0.8163,                0.83333,                0.79007,                 0.2723,                0.42516,                0.49402,                0.30896,                0.07593,                  2.547,                 1.8426,                 1.4129,                 1.0281,               0.001109,               0.001109,               0.001109
                     47,                  2.414,                 2.2557,                 1.6374,                0.94149,                0.49217,                0.66667,                0.62117,                0.23573,                0.61607,                0.83333,                0.76643,                0.19349,                 2.5078,                 1.7467,                 1.2516,                  1.041,              0.0010892,              0.0010892,              0.0010892
                     48,                 2.3102,                 2.4596,                 1.5283,                0.92946,                0.82732,                0.83333,                0.88051,                0.28511,                0.82732,                0.83333,                0.83894,                0.19725,                 2.4044,                 1.6034,                 1.2776,                 1.0396,              0.0010694,              0.0010694,              0.0010694
                     49,                 2.2226,                 2.1364,                 1.4073,                0.94624,                0.74304,                      1,                0.89833,                0.25616,                0.61446,                0.83333,                0.56804,                0.17635,                 2.4876,                 1.6641,                 1.4034,                  1.031,              0.0010496,              0.0010496,              0.0010496
                     50,                 2.4771,                  2.694,                 1.5007,                0.93978,                0.56392,                0.66667,                0.38898,                0.10428,                0.56392,                0.66667,                0.45918,                0.13263,                 2.7616,                  2.733,                 1.6808,                 1.1131,              0.0010298,              0.0010298,              0.0010298
                     51,                 2.2925,                 2.8411,                 1.5221,                0.93006,                0.56202,                0.66667,                 0.3927,                0.15208,                0.81451,                0.83333,                0.78603,                0.20245,                 2.8815,                 1.9101,                  1.539,                  1.134,                0.00101,                0.00101,                0.00101
                     52,                 2.1417,                 2.3774,                 1.4133,                0.93405,                0.74062,                      1,                 0.9125,                0.26188,                0.83289,                      1,                0.97214,                0.33814,                 2.7209,                 1.4571,                 1.2455,                 1.0642,              0.0009902,              0.0009902,              0.0009902
                     53,                 2.1347,                 2.1313,                 1.3319,                0.93904,                 0.8431,                      1,                0.92357,                0.33645,                 0.8431,                      1,                0.92357,                0.24795,                 2.3837,                 1.4632,                 1.2304,                 1.0273,              0.0009704,              0.0009704,              0.0009704
                     54,                 2.1372,                 2.4241,                 1.3931,                0.92213,                0.81584,                0.83333,                0.78392,                0.26239,                0.65164,                0.66667,                0.61756,                0.17553,                 2.4048,                 1.4513,                  1.314,                 1.0267,              0.0009506,              0.0009506,              0.0009506
                     55,                  2.171,                 2.5678,                 1.3579,                0.92465,                 0.9764,                      1,                  0.995,                0.26996,                0.48713,                    0.5,                0.37067,                0.11842,                 2.6866,                 1.4493,                 1.3606,                 1.0401,              0.0009308,              0.0009308,              0.0009308
                     56,                  2.133,                 2.4081,                 1.3233,                0.93672,                0.98197,                      1,                  0.995,                0.30602,                0.81666,                0.83333,                0.85719,                0.24832,                 2.4389,                 1.5976,                 1.2665,                 1.0161,               0.000911,               0.000911,               0.000911
                     57,                 2.1358,                 2.1055,                 1.2853,                0.95039,                0.98527,                      1,                  0.995,                0.38852,                0.65406,                0.66667,                0.60613,                0.18321,                 2.2751,                 1.5833,                 1.2544,                  1.001,              0.0008912,              0.0008912,              0.0008912
                     58,                 2.2186,                 2.1114,                 1.3087,                0.93154,                0.81989,                0.83333,                0.87167,                0.29558,                0.81989,                0.83333,                0.79033,                0.23733,                   2.62,                 1.6165,                  1.324,                 1.0231,              0.0008714,              0.0008714,              0.0008714
                     59,                 2.1257,                 2.3156,                  1.257,                0.92284,                0.81941,                0.83333,                0.81662,                0.25908,                0.81941,                0.83333,                 0.7919,                0.19008,                 2.5897,                 1.5565,                 1.3621,                 1.0051,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.9017,                  1.816,                 1.2516,                0.92561,                0.82069,                0.83333,                0.81662,                0.23763,                0.32754,                0.33333,                0.15214,                0.03772,                 2.6018,                 1.8542,                 1.3485,                  1.012,              0.0008318,              0.0008318,              0.0008318
                     61,                 2.0553,                 2.2602,                 1.2181,                0.92833,                0.93898,                0.66667,                0.68604,                0.19125,                0.49017,                    0.5,                0.36689,                0.09631,                 2.6683,                 1.7483,                 1.3835,                 1.0353,               0.000812,               0.000812,               0.000812
                     62,                 2.0945,                 2.2203,                 1.2529,                0.93121,                0.97092,                0.66667,                0.67932,                 0.1907,                0.48536,                    0.5,                0.36114,                0.08266,                 2.5689,                 1.7715,                  1.359,                 1.0433,              0.0007922,              0.0007922,              0.0007922
                     63,                 2.0455,                 2.4638,                 1.2026,                0.91523,                0.96792,                      1,                  0.995,                0.28398,                0.48328,                    0.5,                0.33192,                0.06342,                  2.368,                 1.9736,                 1.4195,                 1.0087,              0.0007724,              0.0007724,              0.0007724
                     64,                  2.171,                 2.1199,                 1.3005,                0.91621,                0.98118,                      1,                  0.995,                0.34168,                0.79824,                0.66081,                0.57552,                0.11616,                 2.3828,                 1.9225,                 1.4025,                 1.0153,              0.0007526,              0.0007526,              0.0007526
                     65,                 2.1443,                 2.0319,                 1.2546,                0.90176,                0.81907,                0.83333,                  0.763,                0.28455,                0.65502,                0.66667,                0.65508,                0.13584,                 2.4437,                 1.8676,                 1.3748,                 1.0382,              0.0007328,              0.0007328,              0.0007328
                     66,                 2.1853,                 1.9703,                 1.2612,                0.89308,                0.82092,                0.83333,                0.76367,                0.29886,                0.82092,                0.83333,                0.84222,                0.22301,                 2.3144,                 1.8088,                 1.3255,                  1.033,               0.000713,               0.000713,               0.000713
                     67,                 2.2252,                 2.3049,                 1.3457,                0.86967,                0.81996,                0.83333,                0.76138,                0.31146,                0.98568,                      1,                  0.995,                0.27582,                 2.1948,                 1.8457,                 1.2426,                 1.0213,              0.0006932,              0.0006932,              0.0006932
                     68,                  2.051,                 2.1751,                  1.152,                0.89523,                0.99897,                      1,                  0.995,                0.31497,                0.99897,                      1,                  0.995,                0.23297,                 2.3784,                  1.905,                 1.2061,                 1.0462,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.9298,                 2.1699,                 1.1427,                0.89104,                0.99303,                      1,                  0.995,                0.35497,                0.99303,                      1,                  0.995,                 0.3422,                 2.2377,                 1.8956,                 1.1767,                 1.0373,              0.0006536,              0.0006536,              0.0006536
