                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 2.4064,                 2.6896,                 1.4336,                0.93455,                      1,                0.79989,                  0.895,                0.22612,                0.81801,                0.83333,                0.75615,                0.13121,                 2.9778,                 1.9597,                 1.5404,                 1.0969,               0.001806,               0.001806,               0.001806
                     51,                 2.2607,                  2.738,                 1.3125,                0.94664,                0.82237,                0.83333,                0.90267,                0.23146,                 0.9892,                      1,                  0.995,                0.29167,                 2.6999,                 1.5691,                  1.383,                 1.0508,               0.001802,               0.001802,               0.001802
                     52,                 2.2514,                 2.4116,                 1.3109,                0.94518,                0.84074,                      1,                0.97214,                0.22971,                0.84074,                      1,                0.97214,                0.25946,                 2.4735,                 1.3926,                 1.1027,                 1.0265,               0.001798,               0.001798,               0.001798
                     53,                 2.3618,                 2.4319,                 1.3201,                  0.965,                0.78705,                0.66667,                0.71005,                0.23667,                0.78705,                0.66667,                 0.7171,                0.23048,                 2.4984,                 1.8527,                  1.039,                 1.0435,              0.0017941,              0.0017941,              0.0017941
                     54,                 2.4098,                 2.4893,                 1.3152,                0.94357,                0.79514,                0.65048,                0.73088,                0.25554,                0.79514,                0.65048,                0.70727,                0.23598,                 2.4414,                 2.0385,                  1.029,                  1.082,              0.0017901,              0.0017901,              0.0017901
                     55,                 2.3621,                 2.7261,                 1.3494,                0.94119,                0.80832,                0.83333,                0.87433,                0.25371,                0.84718,                      1,                0.97214,                0.26314,                 2.4703,                 1.9095,                 1.0041,                 1.0484,              0.0017862,              0.0017862,              0.0017862
                     56,                 2.2668,                 2.6281,                 1.2167,                0.95139,                0.81508,                0.83333,                0.84333,                0.32608,                0.65175,                0.66667,                0.66901,                0.16673,                 2.2342,                 1.7299,                0.96019,                 1.0111,              0.0017822,              0.0017822,              0.0017822
                     57,                 2.2413,                 2.4492,                  1.247,                0.98446,                0.83624,                      1,                0.87643,                0.28697,                0.83624,                      1,                0.87643,                0.22004,                 2.3659,                 1.7885,                 1.0608,                 1.0244,              0.0017782,              0.0017782,              0.0017782
                     58,                  2.279,                 2.3451,                 1.2081,                0.94627,                0.85429,                   0.98,                0.87643,                0.25655,                0.85429,                   0.98,                0.87643,                0.27466,                 2.3035,                 1.5381,                 1.1928,                 1.0024,              0.0017743,              0.0017743,              0.0017743
                     59,                 2.2974,                 2.5184,                 1.2477,                0.93417,                0.98365,                0.83333,                0.84044,                0.34118,                0.98365,                0.83333,                  0.955,                0.29662,                 2.2546,                 1.7376,                 1.2994,                 0.9858,              0.0017703,              0.0017703,              0.0017703
                     60,                 2.1296,                 1.9883,                 1.2587,                 0.9527,                0.69811,                0.83333,                0.78863,                 0.3381,                0.31932,                0.33333,                0.16194,                 0.0536,                 2.2004,                 1.7576,                 1.1463,                0.97752,              0.0017664,              0.0017664,              0.0017664
                     61,                 2.2074,                  2.476,                 1.2255,                0.95071,                0.84511,                      1,                0.94786,                 0.3086,                 0.4829,                    0.5,                0.27534,                0.07998,                 2.3232,                 1.9486,                 1.3887,                0.99865,              0.0017624,              0.0017624,              0.0017624
                     62,                 2.1822,                 2.2492,                 1.2794,                0.94061,                0.85284,                0.96988,                0.94786,                0.32864,                0.42086,                 0.4865,                0.21718,                0.07013,                 2.2429,                 2.1624,                  1.439,                0.99038,              0.0017584,              0.0017584,              0.0017584
                     63,                 2.0775,                 2.5473,                 1.1609,                0.92905,                      1,                0.97539,                  0.995,                0.36357,                0.68811,                0.83333,                0.74079,                0.10819,                 2.2058,                 1.9167,                 1.0935,                 1.0383,              0.0017545,              0.0017545,              0.0017545
                     64,                 2.3162,                 2.3543,                 1.2959,                0.94444,                0.85688,                0.99814,                0.92357,                0.31383,                0.71086,                0.83333,                0.74859,                0.23157,                 2.4703,                 1.8769,                 1.2792,                 1.0675,              0.0017505,              0.0017505,              0.0017505
                     65,                 2.3142,                 2.3558,                 1.2878,                0.92821,                0.85308,                0.97159,                0.92357,                0.29038,                0.70744,                0.80938,                0.74832,                0.28085,                 2.5416,                 1.8303,                 1.4763,                 1.0532,              0.0017466,              0.0017466,              0.0017466
                     66,                  2.355,                 2.2107,                 1.2653,                0.91191,                0.84689,                      1,                0.94786,                0.26314,                0.84689,                      1,                0.94786,                0.18833,                 2.2608,                 1.7903,                 1.3587,                 1.0363,              0.0017426,              0.0017426,              0.0017426
                     67,                 2.4657,                 2.6795,                 1.3032,                0.88766,                0.74821,                0.99166,                0.92667,                0.30101,                0.74821,                0.99166,                0.92667,                0.30093,                 2.2171,                 1.5996,                 1.2981,                 1.0045,              0.0017386,              0.0017386,              0.0017386
                     68,                  2.153,                 2.3861,                 1.1205,                0.91247,                0.73665,                      1,                 0.9125,                0.34795,                0.73665,                      1,                0.92667,                0.39618,                 2.4278,                 1.4092,                 1.3151,                 1.0041,              0.0017347,              0.0017347,              0.0017347
                     69,                 2.0321,                 2.3612,                 1.1006,                0.89935,                0.73228,                      1,                 0.9125,                0.33942,                0.85116,                0.95809,                0.94786,                0.48205,                  2.379,                 1.2203,                 1.4572,                0.99904,              0.0017307,              0.0017307,              0.0017307
                     70,                 2.1775,                 2.6606,                 1.2027,                0.89262,                0.73798,                      1,                 0.9125,                0.33245,                0.83566,                      1,                0.92357,                0.52681,                  2.197,                 1.2235,                 2.0585,                 1.0142,              0.0017268,              0.0017268,              0.0017268
                     71,                 2.1752,                 2.0823,                 1.0758,                 0.9217,                0.95875,                0.66667,                0.69371,                0.20658,                0.79032,                0.63441,                0.65807,                0.36599,                 2.4213,                 1.5039,                 1.9952,                 1.0367,              0.0017228,              0.0017228,              0.0017228
                     72,                 2.2424,                 2.4352,                 1.1546,                0.93136,                0.98491,                      1,                  0.995,                0.24542,                0.98491,                      1,                  0.995,                0.37649,                 2.7765,                 1.6945,                 1.3802,                 1.1159,              0.0017188,              0.0017188,              0.0017188
                     73,                 2.1071,                 2.2853,                 1.0581,                0.91927,                0.82608,                0.83333,                 0.7791,                0.29841,                0.99664,                      1,                  0.995,                0.41481,                 2.5885,                 1.7077,                 1.2526,                 1.1309,              0.0017149,              0.0017149,              0.0017149
                     74,                 2.2551,                 2.4116,                 1.1428,                0.94672,                      1,                0.98284,                  0.995,                0.29789,                      1,                0.98284,                  0.995,                0.27028,                 2.3984,                  1.704,                0.98039,                 1.0784,              0.0017109,              0.0017109,              0.0017109
                     75,                 2.1183,                 2.3779,                 1.1119,                0.92406,                      1,                0.98891,                  0.995,                0.34856,                      1,                0.98891,                  0.995,                0.29447,                 2.1932,                 1.5482,                0.84283,                 1.0401,               0.001707,               0.001707,               0.001707
                     76,                 2.1697,                 2.4223,                 1.0758,                0.91033,                      1,                0.78584,                  0.955,                 0.4369,                      1,                0.78584,                  0.955,                0.34513,                 2.0252,                 1.4666,                0.91252,                 1.0392,               0.001703,               0.001703,               0.001703
                     77,                 2.1251,                 2.4223,                 1.0758,                0.90106,                0.85613,                0.99293,                0.97214,                0.38047,                0.85613,                0.99293,                0.92357,                0.31484,                 1.9887,                  1.559,                0.93729,                 1.0089,               0.001699,               0.001699,               0.001699
                     78,                 1.9671,                 2.0592,                0.99991,                0.91828,                0.82837,                0.83333,                0.73328,                0.30678,                0.85566,                0.98962,                0.87643,                0.37668,                 2.5133,                 1.4097,                 1.0323,                 1.0624,              0.0016951,              0.0016951,              0.0016951
